id,Group,Notes,Country,Telegram,Instegram,Twitter,Facebook,Attack Types,Way of Operation,Attackers,Connections
1,Cyb3r Drag0nz Team,Kurds,Iraq,https://t.me/s/Cyb3r_Drag0nz,https://www.instagram.com/cyb3r_drag0nz/,https://twitter.com/i/flow/login?redirect_after_login=%2FCyb3r_Drag0nz,https://www.facebook.com/www.sulairport.net/,"Defacement, DDoS, Data Breach",,,
2,ISLAMIC HACKER ARMY,,Worldwide,https://t.me/ANONYMOUS_KGT,None,https://twitter.com/IslamicHackerA1,None,,,ALkNsOle_SY,
3,ANONGHOST_OFFICIAL,,Worldwide,https://t.me/AnonGhostOfficialTeam,,,,,,,
4,ELECTRONIC_TIGERS_UNIT,,Worldwide,,,,,,,,
5,Dragon Force Malaysa,,Malaysia,https://t.me/dragonforceio,,,,"DDoS, Data Breach",,,
6,TEAM_R70,,Yemen,"https://t.me/s/Team_r70YEMEN
https://t.me/s/Team_R70",,,,,,,
7,ALKNSOLE,,,,,,,,,,
8,MoroccanGh0sts,,Morocco,https://t.me/MoroccanGh0sts,,,,,,,
9,HISBULLAH CYBER TEAM,,,,,,,,,,
10,GARUDA SECURITY,,Indonesia,"https://t.me/garudasec4
https://t.me/GARUDASECURITYCYBER
https://t.me/s/Garuda_Cyber_Operation",,,,,,,
11,GANOSECTEAM,,Indonesia,"https://t.me/ganosecteam
https://t.me/s/ganosecteam01",,,,DDoS,,,
12,FAKESEC (Infinite Insight.id.),,Indonesia,https://t.me/fakesec666,,,,,,,
13,Black Swan Team,,,https://t.me/BLACK_SWAN_TEAM,,,,,,,
14,GBANON17,,Indonesia,,,,,,,,
15,ESTEM RESTORATION EAGLE,,Indonesia,https://t.me/esteemrestorationeagle,,,,,,,
16,MALANG BLACKHAT,,,,,,,,,,
17,SURABAYA HACKTIVIST,,Indonesia,,,,,,,,
18,HACKTIVIST INDONESIA,,Indonesia,,,,,,,,
19,Yemen Legions Team,,Yemen,https://t.me/legionsteam,,,,Data Breach,,,
20,Khan Cyber Army(KWHHT),,Bangladesh,https://t.me/KhanCyberArmyBD,,,,,,,Team Anon Force
21,Team Anon Force,,Bangladesh,https://t.me/teamanonforce,,,,,,,
22,T3 Dimension Malaysia ,,Malaysia,,,,https://www.facebook.com/T3DimensionTeam/,,,,
23,Gaza Hacker Team,,,,,,,,,,
24,SynixCyberCrimeMy,,Malaysia,https://t.me/SynixCyberCrimeMy,,,,,,,
25,STUCX TEAM,,Malaysia,https://t.me/stucxteam,,,,"Defacement, DDoS, Data Breach",,,
26,EXPLOITATION,,,https://t.me/Exploitationn ,,,,,,,
27,GhostTeam ,,,,,,,,,,
28,TH3 Key40 From Algeria,,Algeria,,,,,"Defacement, DDoS, Data Breach",,,
29,DELTABOYS,,,,,,,,,,
30,galahad mamad,,,,,,,,,,
31,WeedSec,,,,,,,,,,
32,R3bellious06,,,,,,,,,,
33,CYBER ERROR SYSTEM,,Indonesia,https://t.me/cybererrorsystem,,,,,,,
34,DARK OLYMPUZT CREW,,,https://t.me/s/OLYMPUZT,,,,,,,
35,Cyber Av3ngers,,,https://t.me/CyberAveng3rs,,,,,,,
36,Krypton-X,,,,,,,,,,
37,TengkorakCyberCrew,,,,,,,,,,
38,NinjaForce,,,,,,,,,,
39,Hackers Factory,,,https://t.me/HackerFactory ,,,,,,,
40,Theh4wk,,,https://t.me/+oSO8LQ--MUYwZjFl ,,,,,,,
41,The Cyber Watchers,,,https://t.me/thecyberwatchers1337,,,,,,,
42,GARNESIA_TEAM ,,,"https://t.me/s/garnesiateam
https://t.me/garnesiateam02",,,,,,,
43,Team 1915,Kurds,Iraq,https://web.telegram.org/k/#@x1915x,,,,,,,
44,Team Herox ,,,https://t.me/s/Team_Herox_Official/2541,,,,,,,
45,Team Insane Pakistan,,,,,,,,,,
46,Jateng Cyber Team,,Indonesia,,,,,,,,
47,CsCrew,,,,,,,,,,
48,KuninganExploiter,,Indonesia,,,,,,,,
49,Esteem Restoration Eagle,,,https://t.me/s/esteemrest,,,,,,,
50,AnonGhost Indonesian,,Indonesia,,,,,,,,
51,Team Al-hindi,,,,,,,,,,
52,Team Azrael–Angel Of Death,,Pakistan,,,,,,,,
53,Aesir,,,,,,,,,,
54,teamr00t,,,,,,,,,,
55,Haghjoyan,,Iran,,,,,,,,
56,kiss of Death,,,,,,,,,,
57,floria,,,,,,,,,,
58,AKINCILAR Sohbet,,Turkey,,,,,,,,
59,ByteVigilante,,France,,,,,,,,
60,Islamic Cyber Team,,Indonesia,,,,,,,,
61,Lulz Security Indonesia,,Indonesia,,,,,,,,
62,Ketapang Grey Hat Team,,Indonesia,,,,,,,,
63,Anonymous Sudan,,Russia,,,,,,,,
64,PADANG SYSTEM ERROR,,Indonesia,,,,,,,,
65,Dark Storm Team,Kurds,Iraq,,,,,,,,
66,Moroccan Black Cyber Army,,Morocco,,,,,,,,
67,Hactivist Indonesia,,Indonesia,,,,,,,,
68,313 Team,,Iraq,,,,,,,,
69,IRoX Team,,Worldwide,,,,,,,,
70,Ayyildiz Tim,,Turkey,,,,,,,,
71,Turk Hack Team,,Turkey,,,,,,,,
72,3XPLOIT.ID,,Indonesia,,,,,,,,
73,Hacktivist Jatim,,Indonesia,,,,,,,,
